,vehicle,level_1,datetime,speed,y,x,heading,vehicleType,time_interval,distance,heading_interval,Trip,geometry
110727,51G44265,42,2018-04-24 17:28:49,6.0,106.69463666666668,10.783799666666667,128.9770003906002,300,1.0,1.4087114859860288,4.878584180427139,35724,POINT (10.78379966666667 106.6946366666667)
110729,51G44265,0,2018-04-24 17:30:30,14.0,106.69463,10.783738,312.31032853603057,300,1.0,4.444317696254768,98.32509890956379,35726,POINT (10.783738 106.69463)
110747,51G44265,18,2018-04-24 17:31:09,18.0,106.69290133333332,10.785417,339.36078925741737,300,1.0,4.986495414232409,21.09634327611764,35726,POINT (10.785417 106.6929013333333)
110748,51G44265,0,2018-04-24 17:31:10,13.0,106.69289133333332,10.785446,15.940990275283827,300,2.0,10.402730567580845,323.4197989821336,35727,POINT (10.785446 106.6928913333333)
110761,51G44265,13,2018-04-24 17:31:33,5.0,106.693502,10.7861175,77.17971797463323,300,2.0,2.241183546072961,4.058683847295838,35727,POINT (10.7861175 106.693502)
110766,51G44265,0,2018-04-24 17:32:11,13.0,106.6937948,10.786385800000001,101.12595500525222,300,1.0,4.0085918867549335,36.27988827536557,35729,POINT (10.7863858 106.6937948)
110787,51G44265,21,2018-04-24 17:32:50,7.0,106.69583,10.784768,97.33500096896809,300,7.0,6.057920673384852,26.788130617805948,35729,POINT (10.784768 106.69583)
110802,51G44265,0,2018-04-24 18:25:36,7.0,106.68743,10.767063,89.99999719775221,300,1.0,3.277124133963284,68.48065012318979,35735,POINT (10.767063 106.68743)
110813,51G44265,11,2018-04-24 18:25:53,19.0,106.688156,10.766657,112.633999951183,300,3.0,13.505268302796562,14.10608683979362,35735,POINT (10.766657 106.688156)
110819,51G44265,0,2018-04-24 18:26:20,11.0,106.68849,10.7674665,303.3198649142916,300,1.0,2.619673950376691,47.69014687981826,35739,POINT (10.7674665 106.68849)
110832,51G44265,13,2018-04-24 18:27:01,17.0,106.68727,10.76816,306.65155055074746,300,4.0,19.106410605372087,0.01568197024272422,35739,POINT (10.76816 106.68727)
110834,51G44265,0,2018-04-24 18:27:08,10.0,106.6871,10.768338,0.0,300,1.0,3.4470474872531693,338.4206019036514,35741,POINT (10.768338 106.6871)
110846,51G44265,12,2018-04-24 18:27:49,8.0,106.688515,10.769848,55.00154791201189,300,1.0,17.37274131257608,19.769207577778694,35741,POINT (10.769848 106.688515)
110863,51G44265,0,2018-04-24 18:39:19,17.0,106.69056,10.767633666666667,80.16419668246847,300,3.0,15.524314356431713,33.96250607829144,35747,POINT (10.76763366666667 106.69056)
110882,51G44265,19,2018-04-24 18:40:19,6.0,106.69445800000001,10.7690904,67.35498010047311,300,6.0,18.956139944106056,15.439975981747509,35747,POINT (10.7690904 106.694458)
110891,51G44265,0,2018-04-24 18:42:02,46.0,106.69690666666668,10.765498,322.2056617161705,300,888.0,7.159076711641557,174.05004460625554,35751,POINT (10.765498 106.6969066666667)
110902,51G44265,11,2018-04-24 18:57:27,16.0,106.69557079999998,10.767723,341.7580854765341,300,3.0,3.5101550369752994,5.638895430391017,35751,POINT (10.767723 106.6955708)
110904,51G44265,0,2018-04-24 18:59:20,11.0,106.69411,10.7701125,271.930813567481,300,1.0,3.2789767694367336,56.83317284126281,35753,POINT (10.7701125 106.69411)
110933,51G44265,29,2018-04-24 19:00:40,26.0,106.68899,10.768057,231.02448793619453,300,1.0,7.04377897603892,2.9145638564056635,35753,POINT (10.768057 106.68899)
110940,51G44265,36,2018-04-24 19:00:51,22.0,106.688495,10.7675005,205.36443121243943,300,3.0,17.945169259189594,9.868127344342467,35753,POINT (10.7675005 106.688495)
110955,51G44265,51,2018-04-24 19:01:22,29.0,106.68786,10.765737,199.32243008181408,300,2.0,16.602647333640434,0.8338812331503505,35753,POINT (10.765737 106.68786)
111204,51G44812,0,2018-04-24 18:10:25,12.0,106.68854125,10.766728500000001,57.316957739740104,300,10.0,41.61064113902235,272.64494411533747,35902,POINT (10.7667285 106.68854125)
111217,51G44812,13,2018-04-24 18:12:35,21.0,106.69434,10.769388,78.56503110134062,300,10.0,30.0988998209525,15.3896664039558,35902,POINT (10.769388 106.69434)
111322,51G44925,0,2018-04-24 21:32:43,31.0,106.69610800000001,10.791599,231.4149548859304,300,30.0,286.62411602300153,79.22143202355682,35937,POINT (10.791599 106.696108)
111323,51G44925,1,2018-04-24 21:33:13,43.0,106.694054,10.789975555555555,224.01422860149967,300,10.0,141.9580593379715,7.400726284430617,35937,POINT (10.78997555555556 106.694054)
111334,51G44925,12,2018-04-24 21:36:13,24.0,106.68595166666668,10.781805416666666,223.76646856048527,300,20.0,171.91896581748955,3.801765864021832,35937,POINT (10.78180541666667 106.6859516666667)
111640,51G45422,0,2018-04-24 17:19:41,18.0,106.67171,10.76784,95.85502199891218,300,18.0,157.03910331821515,34.10702841147705,36102,POINT (10.76784 106.67171)
111644,51G45422,4,2018-04-24 17:20:26,32.0,106.675145,10.76744075,109.0968596282808,300,15.0,143.4431895116185,14.45232156662037,36102,POINT (10.76744075 106.675145)
111650,51G45422,10,2018-04-24 17:22:08,34.0,106.6808,10.765674,109.00650757720229,300,7.0,58.38651574868079,1.3969445218230874,36102,POINT (10.765674 106.6808)
111655,51G45422,0,2018-04-24 17:29:41,19.0,106.6954342857143,10.768021285714283,338.02179750263593,300,6.0,41.09178198684912,299.676934297128,36105,POINT (10.76802128571428 106.6954342857143)
111661,51G45422,6,2018-04-24 17:31:07,18.0,106.69338611111112,10.771417,305.48001319624484,300,6.0,28.232087080362838,17.779067018088313,36105,POINT (10.771417 106.6933861111111)
111669,51G45422,14,2018-04-24 17:33:04,20.0,106.6895375,10.773511,271.05347190951994,300,2.0,12.017922498595988,8.889641399446532,36105,POINT (10.773511 106.6895375)
111672,51G45422,17,2018-04-24 17:33:10,14.0,106.689268,10.7734524,225.08854747724558,300,15.0,75.82493153372006,19.359020464390138,36105,POINT (10.7734524 106.689268)
111674,51G45422,19,2018-04-24 17:33:40,22.0,106.68811,10.772311,221.5908936831284,300,20.0,94.14064621383305,3.2596702543596905,36105,POINT (10.772311 106.68811)
111682,51G45422,27,2018-04-24 17:35:59,10.0,106.684695,10.76857725,210.67930247788104,300,6.0,18.070373120925268,6.1827320699567,36105,POINT (10.76857725 106.684695)
